rho,seed,context_split,gamma,reward,spent_ratio,tau
0.7,10127,train,0.0,115.0,0.9999993539622852,3685
0.7,10128,train,0.0,172.0,0.9999797541328839,4003
0.7,10129,train,0.0,179.0,0.9999982287968908,4012
0.7,10130,train,0.0,198.0,0.9999613845859255,4246
0.7,10131,train,0.0,187.0,0.999996766422476,4038
0.7,10132,train,0.0,177.0,0.9999903241140502,4111
0.7,10123,train,0.1,223.0,0.6590144604870252,5000
0.7,10124,train,0.1,200.0,0.6607998887045042,5000
0.7,10125,train,0.1,194.0,0.6578054601379804,5000
0.7,10126,train,0.1,230.0,0.6595780109507697,5000
0.7,10127,train,0.1,227.0,0.6587362117767334,5000
0.7,10128,train,0.1,206.0,0.6589223461747169,5000
0.7,10129,train,0.1,253.0,0.6582692079884666,5000
0.7,10130,train,0.1,230.0,0.6609399674364499,5000
0.7,10131,train,0.1,224.0,0.6591539024710655,5000
0.7,10132,train,0.1,239.0,0.6571523219517299,5000
0.7,10123,train,0.3,218.0,0.6564960074765341,5000
0.7,10124,train,0.3,226.0,0.6564844931874957,5000
0.7,10125,train,0.3,198.0,0.6565305503436497,5000
0.7,10126,train,0.3,213.0,0.6564960074765341,5000
0.7,10127,train,0.3,235.0,0.6565075217655727,5000
0.7,10128,train,0.3,236.0,0.6565420646326883,5000
0.7,10129,train,0.3,207.0,0.6564844931874957,5000
0.7,10130,train,0.3,244.0,0.6565075217655727,5000
0.7,10131,train,0.3,238.0,0.6565420646326883,5000
0.7,10132,train,0.3,235.0,0.6565766074998038,5000
0.7,10123,train,1.0,200.0,0.6564844931874957,5000
0.7,10124,train,1.0,224.0,0.6564844931874957,5000
0.7,10125,train,1.0,218.0,0.6564844931874957,5000
0.7,10126,train,1.0,233.0,0.6564844931874957,5000
0.7,10127,train,1.0,201.0,0.6564844931874957,5000
0.7,10128,train,1.0,266.0,0.6564844931874957,5000
0.7,10129,train,1.0,213.0,0.6564844931874957,5000
0.7,10130,train,1.0,246.0,0.6564844931874957,5000
0.7,10131,train,1.0,226.0,0.6564844931874957,5000
0.7,10132,train,1.0,227.0,0.6564844931874957,5000
0.7,10123,train,2.0,230.0,0.6564844931874957,5000
0.7,10124,train,2.0,201.0,0.6564844931874957,5000
0.7,10125,train,2.0,215.0,0.6564844931874957,5000
0.7,10126,train,2.0,218.0,0.6564844931874957,5000
0.7,10127,train,2.0,201.0,0.6564844931874957,5000
0.7,10128,train,2.0,221.0,0.6564844931874957,5000
0.7,10129,train,2.0,221.0,0.6564844931874957,5000
0.7,10130,train,2.0,239.0,0.6564844931874957,5000
0.7,10131,train,2.0,232.0,0.6564844931874957,5000
0.7,10132,train,2.0,233.0,0.6564844931874957,5000
