rho,seed,context_split,gamma,reward,spent_ratio,tau
0.7,10132,train,2.0,250.0,0.9999168679714203,4586
0.7,10123,train,3.0,250.0,0.9586458510415895,5000
0.7,10124,train,3.0,277.0,0.9624898787311146,5000
0.7,10125,train,3.0,289.0,0.9598049975889069,5000
0.7,10126,train,3.0,276.0,0.9661850507685117,5000
0.7,10127,train,3.0,287.0,0.9665767316137042,5000
0.7,10128,train,3.0,231.0,0.9644094005652837,5000
0.7,10129,train,3.0,247.0,0.9567126657622201,5000
0.7,10130,train,3.0,268.0,0.966969502065863,5000
0.7,10131,train,3.0,272.0,0.9633705623831068,5000
0.7,10132,train,3.0,266.0,0.9613819422210966,5000
0.7,10123,train,5.0,258.0,0.8119053048917225,5000
0.7,10124,train,5.0,262.0,0.8132069141353879,5000
0.7,10125,train,5.0,276.0,0.8131925372225898,5000
0.7,10126,train,5.0,263.0,0.8163530214428901,5000
0.7,10127,train,5.0,282.0,0.8129253442372595,5000
0.7,10128,train,5.0,269.0,0.812613312457289,5000
0.7,10129,train,5.0,276.0,0.8076604990107673,5000
0.7,10130,train,5.0,276.0,0.8164655669586999,5000
0.7,10131,train,5.0,298.0,0.809938883806978,5000
0.7,10132,train,5.0,248.0,0.8118374427131244,5000
0.7,10123,train,10.0,274.0,0.7004064258762769,5000
0.7,10124,train,10.0,300.0,0.7017208154371807,5000
0.7,10125,train,10.0,288.0,0.7015786372848919,5000
0.7,10126,train,10.0,304.0,0.7020644522735051,5000
0.7,10127,train,10.0,305.0,0.7012683659366199,5000
0.7,10128,train,10.0,267.0,0.7021189862063952,5000
0.7,10129,train,10.0,316.0,0.7018191026193755,5000
0.7,10130,train,10.0,319.0,0.700824444770813,5000
0.7,10131,train,10.0,305.0,0.7006880971278463,5000
0.7,10132,train,10.0,289.0,0.7014548219357218,5000
0.85,10123,train,0.0,200.0,0.9999946146922953,4428
0.85,10124,train,0.0,234.0,0.9999836095431271,4431
0.85,10125,train,0.0,219.0,0.9999980230822283,4413
0.85,10126,train,0.0,243.0,0.9999525200899909,4413
0.85,10127,train,0.0,226.0,0.9999931464335498,4431
0.85,10128,train,0.0,212.0,0.9999733113330953,4424
0.85,10129,train,0.0,233.0,0.9998978481432971,4422
0.85,10130,train,0.0,251.0,0.9999868519306183,4428
0.85,10131,train,0.0,211.0,0.9999407306138207,4424
0.85,10132,train,0.0,239.0,0.9999120565722971,4442
0.85,10123,train,0.1,232.0,0.9999865748251185,4473
0.85,10124,train,0.1,227.0,0.99997378561076,4470
0.85,10125,train,0.1,244.0,0.9999861265070298,4468
0.85,10126,train,0.1,229.0,0.9999827098706189,4466
0.85,10127,train,0.1,239.0,0.9999678336802651,4476
0.85,10128,train,0.1,243.0,0.9999715042745366,4473
0.85,10129,train,0.1,250.0,0.9999806298858979,4469
0.85,10130,train,0.1,252.0,0.9999861461695503,4470
0.85,10131,train,0.1,222.0,0.9999959032184937,4447
0.85,10132,train,0.1,248.0,0.9999984204628888,4468
0.85,10123,train,0.3,238.0,0.9999656795403536,4583
0.85,10124,train,0.3,238.0,0.9999524179486667,4585
0.85,10125,train,0.3,223.0,0.9999136612204944,4587
0.85,10126,train,0.3,267.0,0.9999689541494146,4554
0.85,10127,train,0.3,267.0,0.9999456794542425,4573
0.85,10128,train,0.3,256.0,0.9999932415275012,4568
0.85,10129,train,0.3,240.0,0.9999108319843517,4561
